CODCARRERA,EGRESO,LUGAR_LISTA,PREFERENCIA,DEPENDENCIA,COD_REGION_COLEGIO,PTJE_LENG,PTJE_MAT,PTJE_CIENCIAS,PTJE_HIST,PTJE_RANKING,RETENCION_AL_PRIMER_AÑO,RETENCION_AL_TERCER_AÑO,EXTRANJERO,CIUDAD_SEDE,GRATUIDAD,ETNIA,SEXO_(1F),TIPO_INGRESO_IEP-Excepción Lista espera Rep,TIPO_INGRESO_IRP-Lista de selección,TIPO_INGRESO_Otro ingreso,TIPO_COLEGIO_H1,TIPO_COLEGIO_H2,TIPO_COLEGIO_ND,TIPO_COLEGIO_T1,TIPO_COLEGIO_T2,TIPO_COLEGIO_T3,TIPO_COLEGIO_T5,EDAD_INGRESO
8103,2017,36.0,1.0,2.0,2.0,596.0,586.0,558.0,0.0,523.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,2015,37.0,1.0,2.0,2.0,612.0,591.0,506.0,0.0,522.0,1,1,0,0,0,1,1,False,True,False,True,False,False,False,False,False,False,21
8103,2017,38.0,3.0,2.0,9.0,474.0,586.0,545.0,0.0,548.0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,False,False,20
8103,2017,39.0,1.0,2.0,2.0,537.0,564.0,582.0,0.0,545.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,2017,42.0,1.0,2.0,1.0,442.0,507.0,457.0,0.0,666.0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,19
8853,2016,1.0,1.0,2.0,2.0,630.0,678.0,602.0,0.0,837.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8853,2017,2.0,1.0,2.0,2.0,654.0,694.0,651.0,0.0,767.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8853,2017,3.0,1.0,2.0,2.0,517.0,660.0,576.0,0.0,707.0,1,1,0,1,0,1,1,False,True,False,True,False,False,False,False,False,False,18
8853,2017,4.0,1.0,2.0,2.0,646.0,652.0,664.0,0.0,563.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8853,2017,5.0,1.0,2.0,3.0,580.0,586.0,545.0,0.0,623.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8853,2007,8.0,1.0,3.0,2.0,362.0,631.0,0.0,466.0,557.0,1,1,0,1,0,0,1,False,True,False,False,False,False,True,False,False,False,29
8853,2017,15.0,6.0,2.0,2.0,433.0,544.0,0.0,542.0,476.0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,19
8843,2016,1.0,1.0,2.0,2.0,697.0,660.0,644.0,0.0,762.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8843,2014,2.0,1.0,2.0,2.0,684.0,601.0,0.0,677.0,773.0,1,1,0,1,0,0,0,False,True,False,False,False,False,False,True,False,False,22
8843,2017,3.0,1.0,2.0,2.0,523.0,601.0,506.0,483.0,818.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8843,2017,4.0,1.0,2.0,2.0,530.0,623.0,570.0,510.0,770.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8843,2014,5.0,1.0,3.0,2.0,579.0,620.0,574.0,0.0,740.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,22
8843,1994,6.0,1.0,3.0,2.0,523.0,591.0,0.0,553.0,792.0,0,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,42
8843,2017,8.0,2.0,2.0,2.0,604.0,591.0,582.0,559.0,616.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8843,2017,9.0,1.0,2.0,2.0,637.0,581.0,514.0,0.0,595.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8843,2017,15.0,1.0,3.0,2.0,551.0,614.0,0.0,510.0,502.0,0,0,0,0,0,1,1,False,True,False,True,False,False,False,False,False,False,18
8843,2017,17.0,1.0,2.0,2.0,517.0,619.0,537.0,0.0,492.0,1,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,19
8843,2016,20.0,1.0,2.0,2.0,579.0,562.0,505.0,0.0,496.0,1,0,0,1,0,0,0,True,False,False,True,False,False,False,False,False,False,19
8843,2017,21.0,1.0,3.0,2.0,537.0,614.0,443.0,496.0,445.0,1,1,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,18
8843,2017,22.0,1.0,2.0,2.0,466.0,558.0,529.0,436.0,486.0,1,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,19
8293,2017,1.0,2.0,2.0,2.0,573.0,564.0,470.0,0.0,492.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8293,2017,3.0,1.0,2.0,4.0,466.0,448.0,495.0,0.0,558.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8483,2015,1.0,1.0,2.0,2.0,744.0,698.0,694.0,0.0,836.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,21
8483,2017,2.0,1.0,2.0,2.0,596.0,660.0,709.0,0.0,850.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8483,2017,3.0,1.0,3.0,2.0,637.0,703.0,637.0,0.0,850.0,1,1,0,1,0,1,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,5.0,1.0,2.0,1.0,544.0,619.0,637.0,0.0,791.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2007,6.0,2.0,2.0,2.0,758.0,636.0,625.0,657.0,710.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,29
8483,2012,8.0,1.0,2.0,2.0,654.0,623.0,655.0,0.0,687.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,24
8483,2017,9.0,1.0,2.0,2.0,588.0,610.0,651.0,0.0,685.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2012,10.0,1.0,3.0,2.0,716.0,518.0,545.0,0.0,761.0,0,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,23
8483,2017,12.0,2.0,3.0,2.0,489.0,644.0,611.0,0.0,664.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2016,13.0,1.0,3.0,2.0,541.0,568.0,585.0,0.0,684.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2017,15.0,6.0,2.0,15.0,537.0,745.0,591.0,510.0,564.0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2016,16.0,1.0,2.0,1.0,612.0,581.0,651.0,0.0,587.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8483,2017,17.0,3.0,2.0,2.0,620.0,601.0,611.0,564.0,596.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,19.0,1.0,2.0,2.0,573.0,596.0,620.0,0.0,606.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2007,20.0,1.0,3.0,2.0,544.0,570.0,582.0,0.0,676.0,0,0,0,0,0,0,1,False,True,False,False,False,False,True,False,False,False,29
8483,2017,21.0,1.0,2.0,3.0,537.0,507.0,570.0,0.0,711.0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,True,False,False,19
8483,2017,22.0,1.0,3.0,2.0,450.0,495.0,514.0,0.0,756.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,24.0,3.0,2.0,11.0,489.0,614.0,582.0,0.0,631.0,1,1,0,0,0,1,0,False,True,False,True,False,False,False,False,False,False,19
8483,2017,25.0,1.0,2.0,2.0,558.0,570.0,615.0,0.0,604.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,26.0,4.0,2.0,4.0,628.0,581.0,664.0,0.0,534.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,19
